Date : 2022-03-07 20:50:58
Directory : /home/lqf/cpp/Itachi
Total : 68 files,  20889 codes, 4554 comments, 3640 blanks, all 29083 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C++         |         28 |     18,483 |      4,263 |      2,962 |     25,708 |
| CMake       |         30 |        629 |          0 |        137 |        766 |
| Makefile    |          4 |        575 |        233 |        323 |      1,131 |
| Log         |          1 |        464 |          0 |         57 |        521 |
| C           |          2 |        448 |         50 |         99 |        597 |
| CMake Cache |          1 |        257 |          0 |         60 |        317 |
| JSON        |          1 |         24 |          0 |          1 |         25 |
| Markdown    |          1 |          9 |          8 |          1 |         18 |
+-------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |         68 |     20,889 |      4,554 |      3,640 |     29,083 |
| build                                                                                          |         40 |      3,165 |        335 |        772 |      4,272 |
| build/CMakeFiles                                                                               |         10 |      1,888 |        102 |        297 |      2,287 |
| build/CMakeFiles/3.6.2                                                                         |          5 |        926 |        102 |        221 |      1,249 |
| build/CMakeFiles/3.6.2/CompilerIdC                                                             |          1 |        417 |         50 |         95 |        562 |
| build/CMakeFiles/3.6.2/CompilerIdCXX                                                           |          1 |        390 |         52 |         92 |        534 |
| build/src                                                                                      |         16 |        521 |        105 |        211 |        837 |
| build/src/Base                                                                                 |          8 |        296 |         57 |        119 |        472 |
| build/src/Base/CMakeFiles                                                                      |          6 |         87 |          0 |         18 |        105 |
| build/src/Base/CMakeFiles/ITACHI_BASE.dir                                                      |          2 |         36 |          0 |          6 |         42 |
| build/src/Base/CMakeFiles/ITACHI_BASE_STATIC.dir                                               |          3 |         39 |          0 |          7 |         46 |
| build/src/Net                                                                                  |          8 |        225 |         48 |         92 |        365 |
| build/src/Net/CMakeFiles                                                                       |          6 |         79 |          0 |         18 |         97 |
| build/src/Net/CMakeFiles/ITACHI_NET.dir                                                        |          2 |         32 |          0 |          6 |         38 |
| build/src/Net/CMakeFiles/ITACHI_NET_STATIC.dir                                                 |          3 |         35 |          0 |          7 |         42 |
| build/test                                                                                     |         11 |        342 |         60 |        129 |        531 |
| build/test/CMakeFiles                                                                          |          9 |        148 |          0 |         29 |        177 |
| build/test/CMakeFiles/buffer_test.dir                                                          |          2 |         34 |          0 |          6 |         40 |
| build/test/CMakeFiles/config_test.dir                                                          |          2 |         34 |          0 |          6 |         40 |
| build/test/CMakeFiles/logger_test.dir                                                          |          2 |         34 |          0 |          6 |         40 |
| build/test/CMakeFiles/threapool_test.dir                                                       |          2 |         34 |          0 |          6 |         40 |
| src                                                                                            |         22 |     17,572 |      4,177 |      2,828 |     24,577 |
| src/Base                                                                                       |         18 |     17,243 |      4,140 |      2,788 |     24,171 |
| src/Base/include                                                                               |         13 |     16,643 |      3,996 |      2,732 |     23,371 |
