Date : 2022-03-09 16:15:58
Directory : /home/lqf/cpp/Itachi
Total : 80 files,  21377 codes, 4677 comments, 3714 blanks, all 29768 lines

Languages
+-------------+------------+------------+------------+------------+------------+
| language    | files      | code       | comment    | blank      | total      |
+-------------+------------+------------+------------+------------+------------+
| C++         |         38 |     18,802 |      4,373 |      3,005 |     26,180 |
| CMake       |         32 |        743 |          0 |        143 |        886 |
| Makefile    |          4 |        630 |        246 |        348 |      1,224 |
| Log         |          1 |        464 |          0 |         57 |        521 |
| C           |          2 |        448 |         50 |         99 |        597 |
| CMake Cache |          1 |        257 |          0 |         60 |        317 |
| JSON        |          1 |         24 |          0 |          1 |         25 |
| Markdown    |          1 |          9 |          8 |          1 |         18 |
+-------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                              |         80 |     21,377 |      4,677 |      3,714 |     29,768 |
| build                                                                                          |         42 |      3,334 |        348 |        803 |      4,485 |
| build/CMakeFiles                                                                               |         10 |      1,959 |        102 |        297 |      2,358 |
| build/CMakeFiles/3.6.2                                                                         |          5 |        926 |        102 |        221 |      1,249 |
| build/CMakeFiles/3.6.2/CompilerIdC                                                             |          1 |        417 |         50 |         95 |        562 |
| build/CMakeFiles/3.6.2/CompilerIdCXX                                                           |          1 |        390 |         52 |         92 |        534 |
| build/src                                                                                      |         16 |        546 |        108 |        220 |        874 |
| build/src/Base                                                                                 |          8 |        321 |         60 |        128 |        509 |
| build/src/Base/CMakeFiles                                                                      |          6 |         91 |          0 |         18 |        109 |
| build/src/Base/CMakeFiles/ITACHI_BASE.dir                                                      |          2 |         38 |          0 |          6 |         44 |
| build/src/Base/CMakeFiles/ITACHI_BASE_STATIC.dir                                               |          3 |         41 |          0 |          7 |         48 |
| build/src/Net                                                                                  |          8 |        225 |         48 |         92 |        365 |
| build/src/Net/CMakeFiles                                                                       |          6 |         79 |          0 |         18 |         97 |
| build/src/Net/CMakeFiles/ITACHI_NET.dir                                                        |          2 |         32 |          0 |          6 |         38 |
| build/src/Net/CMakeFiles/ITACHI_NET_STATIC.dir                                                 |          3 |         35 |          0 |          7 |         42 |
| build/test                                                                                     |         13 |        408 |         66 |        148 |        622 |
| build/test/CMakeFiles                                                                          |         11 |        187 |          0 |         35 |        222 |
| build/test/CMakeFiles/buffer_test.dir                                                          |          2 |         35 |          0 |          6 |         41 |
| build/test/CMakeFiles/config_test.dir                                                          |          2 |         35 |          0 |          6 |         41 |
| build/test/CMakeFiles/eventloop_test.dir                                                       |          2 |         35 |          0 |          6 |         41 |
| build/test/CMakeFiles/logger_test.dir                                                          |          2 |         35 |          0 |          6 |         41 |
| build/test/CMakeFiles/threapool_test.dir                                                       |          2 |         35 |          0 |          6 |         41 |
| src                                                                                            |         31 |     17,839 |      4,270 |      2,854 |     24,963 |
| src/Base                                                                                       |         21 |     17,454 |      4,182 |      2,803 |     24,439 |
| src/Base/include                                                                               |         15 |     16,713 |      4,022 |      2,745 |     23,480 |
| src/Base/src                                                                                   |          6 |        741 |        160 |         58 |        959 |
| src/Net                                                                                        |         10 |        385 |         88 |         51 |        524 |
| src/Net/include                                                                                |          5 |        275 |         43 |         41 |        359 |
| src/Net/src                                                                                    |          5 |        110 |         45 |         10 |        165 |
| test                                                                                           |          5 |        171 |         51 |         55 |        277 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| filename                                                                                       | language    | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------+-------------+------------+------------+------------+------------+
| /home/lqf/cpp/Itachi/README.md                                                                 | Markdown    |          9 |          8 |          1 |         18 |
| /home/lqf/cpp/Itachi/build/CMakeCache.txt                                                      | CMake Cache |        257 |          0 |         60 |        317 |
| /home/lqf/cpp/Itachi/build/CMakeFiles/3.6.2/CMakeCCompiler.cmake                               | CMake       |         54 |          0 |         14 |         68 |
| /home/lqf/cpp/Itachi/build/CMakeFiles/3.6.2/CMakeCXXCompiler.cmake                             | CMake       |         55 |          0 |         14 |         69 |
